Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
2,Oil and Products Terminal,1.3,11.5,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.3,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
2,Oil and Products Terminal,68.5,68.9,Crude Oil Tanker,WET BULK,3947.0,11.7,2009,PORTO DO ACU,Bahamas,83545 tons,156813 tons,274 m,48 m
1A,Multi Purpose Terminal,24.4,24.8,Oil Products Tanker,WET BULK,5.0,6.1,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
3,Multi Purpose Terminal,9.7,10.1,LPG Tanker,LPG CARRIERS,248.0,12.0,2006,LEIXOES,Cyprus,2997 tons,3147 tons,95 m,15 m
6,Oil and Products Terminal,4.1,4.3,LPG Tanker,LPG CARRIERS,571.0,12.1,2014,GIJON,Singapore,4292 tons,5011 tons,99 m,17 m
Container,Container Terminal XXI,7.2,7.3,Container Ship,CONTAINER SHIPS,4.0,0.0,2007,SINES,Cyprus,9962 tons,11433 tons,134 m,22 m
Container,Container Terminal XXI,0.2,0.8,Container Ship,CONTAINER SHIPS,480.0,15.4,2007,AGADIR,Cyprus,9962 tons,11433 tons,134 m,22 m
Container,Container Terminal XXI,1.2,1.2,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.6,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,22.6,22.9,Container Ship,CONTAINER SHIPS,1031.0,15.5,2013,LE HAVRE,Panama,95390 tons,110617 tons,300 m,48 m
3,Oil and Products Terminal,29.9,30.2,Oil/Chemical Tanker,WET BULK,1.0,6.1,2008,SINES ANCH,Sweden,13798 tons,19999 tons,155 m,23 m
Container,Container Terminal XXI,6.3,6.6,Container Ship,CONTAINER SHIPS,47.0,12.9,2005,SETUBAL,Portugal,9990 tons,11209 tons,134 m,23 m
Container,Container Terminal XXI,3.4,10.9,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.7,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
4,Oil and Products Terminal,2.9,41.7,Oil/Chemical Tanker,WET BULK,6.0,5.0,2004,ANTWERP,Marshall Islands,22518 tons,39997 tons,182 m,28 m
2,Oil and Products Terminal,0.9,28.0,Fire Fighting Vessel,SUPPORTING VESSELS,1.0,5.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
Container,Container Terminal XXI,0.6,2.9,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.4,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,14.7,14.9,Container Ship,CONTAINER SHIPS,1941.0,17.8,2004,NEMRUT,Panama,54304 tons,68599 tons,294 m,32 m
2,Oil and Products Terminal,0.7,13.8,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,13.7,13.9,Oil Products Tanker,WET BULK,5.0,6.6,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
5,Oil and Products Terminal,0.4,28.0,Fire Fighting Vessel,SUPPORTING VESSELS,1.0,5.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
5,Oil and Products Terminal,0.5,13.8,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,56.4,56.8,Oil/Chemical Tanker,WET BULK,308.0,11.3,2010,JORF LASFAR,Malta,17846 tons,25130 tons,170 m,26 m
Container,Container Terminal XXI,16.3,16.5,Container Ship,CONTAINER SHIPS,307.0,14.3,2002,VIGO,Liberia,16802 tons,22968 tons,184 m,25 m
Container,Container Terminal XXI,8.4,8.6,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.4,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,11.7,11.9,Container Ship,CONTAINER SHIPS,1258.0,13.1,2007,NAPOLI,Denmark,48788 tons,53701 tons,293 m,32 m
5,Oil and Products Terminal,14.7,15.0,Oil/Chemical Tanker,WET BULK,313.0,12.0,2007,LEIXOES,Italy,13472 tons,19991 tons,149 m,23 m
6,Oil and Products Terminal,9.8,10.2,Oil Products Tanker,WET BULK,5.0,6.3,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
4,Oil and Products Terminal,38.5,41.7,Oil/Chemical Tanker,WET BULK,6.0,5.0,2004,ANTWERP,Marshall Islands,22518 tons,39997 tons,182 m,28 m
Container,Container Terminal XXI,12.9,13.3,Container Ship,CONTAINER SHIPS,303.0,12.5,2004,CASABLANCA,Cyprus,9991 tons,11408 tons,134 m,22 m
4,Oil and Products Terminal,1.2,13.9,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.6,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,20.7,21.6,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.4,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,21.2,21.5,Container Ship,CONTAINER SHIPS,314.0,8.8,2007,ALGECIRAS,Panama,107849 tons,117236 tons,336 m,45 m
Container,Container Terminal XXI,3.9,4.2,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,5.1,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,25.7,26.0,Container Ship,CONTAINER SHIPS,693.0,9.3,2014,VALENCIA,Liberia,94930 tons,112171 tons,299 m,48 m
Container,Container Terminal XXI,4.1,4.3,Oil Products Tanker,WET BULK,3.0,7.0,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
2,Oil and Products Terminal,1.4,39.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.6,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
