"Dock Timestamp","Undock Timestamp","Vessel Name","Berth Name","Terminal Name","Current Port","Current Port Ata","Destination Port","Load Condition At Arrival","Current Port Atd","Load Condition At Departure","Time At Berth","Time At Port","Vessel Type - Generic","Capacity - Dwt","Capacity - Gt",Built,"Current Port Unlocode","Port Operation",Mmsi,Imo,"Current Port Country","Draught At Arrival","Origin Port Unlocode","Origin Port Country","Commercial Market","Commercial Size Class","Capacity - Teu","Capacity - Liquid Gas","Voyage Distance Travelled","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port","Voyage Time Underway","Draught At Departure"
"2024-04-02 13:07:00","2024-04-02 14:15:00",GOLIAS,3,"Oil and Products Terminal",SINES,"2024-04-02 00:32:00",,N/A,,,1.1,,Tug,,,,PTSIE,,263602573,0,PT,0.0,PTSIE,PT,"OTHER MARKETS",,,,1,5.4,5.4,0.0,"2024-04-02 00:25:00",SINES,0.1,
"2024-04-02 13:03:00","2024-04-02 13:19:00","CASTELO DE SAO JORGE",3,"Oil and Products Terminal",SINES,"2024-04-02 12:48:00",SINES,N/A,"2024-04-03 05:44:00",N/A,0.3,16.9,"Fire Fighting Vessel",162,386,2005,PTSIE,NA,263625000,9319179,PT,6.5,,PT,"SUPPORTING VESSELS",,,,2,5.2,7.6,0.0,"2024-04-02 12:47:00","SINES ANCH",0.0,6.5
"2024-04-02 13:02:00","2024-04-03 22:04:00",AETHALIA,3,"Oil and Products Terminal",SINES,"2024-04-02 12:47:00",,"In ballast","2024-04-03 22:11:00",Laden,33.0,33.4,"Oil/Chemical Tanker",19991,13472,2007,PTSIE,LOAD,247237100,9373230,PT,6.8,PTLEI,PT,"WET BULK",HANDYSIZE,,,1387,6.7,12.6,0.1,"2024-03-25 09:31:00",LEIXOES,195.3,9.4
"2024-04-02 12:10:00","2024-04-02 12:25:00","CTE JOAO GRAVATO",Container,"Container Terminal XXI",SINES,"2024-03-26 14:30:00",SINES,N/A,"2024-04-02 12:26:00",N/A,0.3,165.9,Unspecified,,,,PTSIE,NA,263673985,0,PT,1.7,PTSIE,PT,"OTHER MARKETS",,,,8,15.0,24.0,0.3,"2024-03-26 13:41:00",SINES,0.8,1.7
"2024-04-02 11:57:00","2024-04-02 12:15:00","CTE CELSO MADEIRA",3,"Oil and Products Terminal",SINES,"2024-04-02 10:24:00",SINES,N/A,"2024-04-02 12:21:00",N/A,0.3,2.0,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,13.3,20.3,0.0,"2024-04-02 10:01:00",SINES,0.4,0.0
"2024-04-02 11:46:00","2024-04-02 12:10:00","CASTELO DE SAO JORGE",3,"Oil and Products Terminal",SINES,"2024-04-01 11:18:00",SINES,N/A,"2024-04-02 12:26:00",N/A,0.4,25.1,"Fire Fighting Vessel",162,386,2005,PTSIE,NA,263625000,9319179,PT,6.5,PTSIE,PT,"SUPPORTING VESSELS",,,,2,5.3,6.6,0.0,"2024-04-01 11:03:00",SINES,0.3,6.5
"2024-04-02 11:01:00","2024-04-02 11:34:00","CTE CELSO MADEIRA",1B,"Multi Purpose Terminal",SINES,"2024-04-02 10:24:00",,N/A,"2024-04-02 12:21:00",N/A,0.6,2.0,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,13.3,20.3,0.0,"2024-04-02 10:01:00",SINES,0.4,0.0
"2024-04-02 10:54:00","2024-04-02 12:00:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-02 10:36:00",SINES,N/A,"2024-04-02 12:21:00",N/A,1.1,1.8,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,3,6.5,9.1,0.0,"2024-04-02 10:15:00",SINES,0.4,5.7
"2024-04-02 10:53:00","2024-04-03 03:43:00","MSC CANCUN",Container,"Container Terminal XXI",SINES,"2024-04-02 10:36:00",,Laden,"2024-04-03 03:46:00","Partially Laden",16.8,17.2,"Container Ship",52316,41322,2009,PTSIE,DISCHARGE,636020198,9403396,PT,11.8,ITGIT,IT,"CONTAINER SHIPS",PANAMAX,4300,,1314,16.7,19.8,3.1,"2024-03-30 00:32:00","GIOIA TAURO",82.1,10.6
"2024-04-02 10:43:00","2024-04-02 12:06:00","MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-02 10:34:00",SINES,N/A,"2024-04-02 12:09:00",N/A,1.4,1.6,Tug,156,,2019,PTSIE,NA,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,5.4,7.6,0.1,"2024-04-02 10:01:00",SINES,0.6,6.0
