Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
4,2,-0.5108256237659907,2.6602595372658615,5,6,3.0,10.5,2005,105,27,130,112,77,0
1,3,3.0301337002713233,3.0492730404820207,11,4,6.0,5.6,2016,111,11,26,93,25,11
9,2,3.2386784521643803,3.258096538021482,11,4,614.0,6.5,2015,63,21,153,228,116,6
8,2,2.379546134130174,4.871373226762748,14,7,4.0,7.7,2007,105,32,156,274,116,7
11,0,-0.5108256237659907,-0.10536051565782628,17,6,8.0,6.6,1995,105,27,79,77,67,36
11,0,-1.2039728043259361,-0.5108256237659907,5,6,5.0,5.6,2005,105,27,130,112,77,0
11,0,3.342861804649192,3.353406717825807,3,0,986.0,16.6,2015,62,21,249,47,83,30
4,1,-1.2039728043259361,4.7535901911063645,17,6,3.0,13.2,1991,105,27,119,69,91,0
11,0,2.424802725718295,2.4423470353692043,14,7,5.0,5.0,2007,105,32,156,274,116,7
11,0,-0.35667494393873245,0.0,5,6,5.0,7.1,2010,105,32,145,195,89,0
11,0,2.995732273553991,3.0155349008501706,3,0,9811.0,14.0,2019,71,17,29,94,103,30
11,0,3.3568971227655755,3.370738174177447,3,0,1919.0,15.9,2005,74,6,171,264,81,21
11,0,1.3862943611198906,1.4816045409242156,5,6,2.0,5.4,2010,105,32,145,195,89,0
2,1,0.0,3.490428515390098,5,6,3.0,5.6,2005,105,27,130,112,77,0
11,0,1.7404661748405046,1.7749523509116738,5,6,3.0,10.2,2010,105,32,145,195,89,0
5,1,0.09531017980432493,3.490428515390098,5,6,3.0,5.6,2005,105,27,130,112,77,0
12,4,-0.6931471805599453,3.4965075614664802,17,6,4.0,5.7,1995,105,27,79,77,67,36
12,4,-0.2231435513142097,3.490428515390098,5,6,3.0,5.6,2005,105,27,130,112,77,0
3,1,-0.6931471805599453,3.4965075614664802,17,6,4.0,5.7,1995,105,27,79,77,67,36
2,1,2.856470206220483,2.884800712846709,14,7,3.0,7.0,2007,105,32,156,274,116,7
1,3,2.3702437414678603,2.4159137783010487,11,4,772.0,12.3,2016,111,11,26,93,25,11
9,2,3.4307561839036995,3.4436180975461075,11,4,1568.0,10.9,2015,56,22,175,230,116,7
4,2,0.5306282510621704,3.490428515390098,5,6,3.0,5.6,2005,105,27,130,112,77,0
4,2,-0.35667494393873245,3.4965075614664802,17,6,4.0,5.7,1995,105,27,79,77,67,36
4,2,3.7471483622379123,3.765840495250065,14,7,11.0,4.7,2012,84,22,37,156,99,34
5,2,-0.35667494393873245,2.5416019934645457,5,6,5.0,6.3,2010,105,32,145,195,89,0
11,0,1.9459101490553132,2.0149030205422647,14,7,3.0,4.7,2007,101,32,156,274,116,7
11,0,2.7343675094195836,2.760009940032921,3,0,1791.0,13.3,2009,79,17,141,231,61,21
11,0,0.09531017980432493,0.4054651081081644,5,6,5.0,7.0,2010,105,32,145,195,89,0
11,0,-2.3025850929940455,2.760009940032921,3,0,1791.0,13.3,2009,79,17,141,231,61,21
11,0,-0.5108256237659907,-0.10536051565782628,5,6,4.0,6.6,2010,105,32,145,195,89,0
6,2,3.2809112157876537,3.292126286607793,15,7,538.0,9.5,2008,23,33,27,129,27,12
12,4,3.3978584803966405,3.4210000089583352,10,3,4285.0,12.7,2015,19,4,13,314,79,29
12,4,-0.10536051565782628,2.8791984572980396,17,6,3.0,5.1,1995,64,27,79,77,67,36
12,4,0.0,2.8791984572980396,5,6,2.0,5.4,2005,105,27,130,112,77,0
7,2,-0.35667494393873245,0.1823215567939546,5,6,2.0,6.0,2005,106,27,130,112,77,0
2,1,2.8735646395797834,4.131961425793407,14,7,4.0,6.1,2007,101,32,156,274,116,7
11,0,0.1823215567939546,0.4054651081081644,5,6,4.0,5.9,2010,105,32,145,195,89,0
11,0,4.00369019395397,4.007333185232471,3,0,1452.0,16.3,2014,98,17,251,51,83,30
4,2,-0.6931471805599453,3.6027767550605247,17,6,3.0,6.3,1995,105,27,79,77,67,36
