Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
4,Oil and Products Terminal,0.8,1.6,Tug,SUPPORTING VESSELS,2.0,5.4,7626085,SINES ANCH
4,Oil and Products Terminal,0.8,1.3,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.6,9503512,SINES
4,Oil and Products Terminal,103.8,104.3,Oil/Chemical Tanker,WET BULK,867.0,12.2,9845166,PAUILLAC
Container,Container Terminal XXI,0.4,0.8,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.4,9525443,SINES
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,3.0,5.1,9803821,SINES
Container,Container Terminal XXI,18.4,18.7,Container Ship,CONTAINER SHIPS,1012.0,17.1,9304447,LE HAVRE
Container,Container Terminal XXI,0.4,0.5,Tug,SUPPORTING VESSELS,3.0,11.9,9803821,SINES
Container,Container Terminal XXI,16.3,16.6,Container Ship,CONTAINER SHIPS,479.0,16.2,9354416,AGADIR
6,Oil and Products Terminal,22.0,80.3,Oil/Chemical Tanker,WET BULK,4.0,8.3,9555084,SINES
6,Oil and Products Terminal,0.4,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
Sines LNG,REN Atlantico Terminal LNG,0.7,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
Sines LNG,REN Atlantico Terminal LNG,1.1,17.6,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,5.3,9503512,SINES
Sines LNG,REN Atlantico Terminal LNG,1.1,19.8,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.3,9319179,SINES ANCH
Sines LNG,REN Atlantico Terminal LNG,23.4,24.1,LNG Tanker,LNG CARRIERS,3609.0,13.8,9241267,BONNY
Container,Container Terminal XXI,15.6,16.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.1,9525443,SINES
Container,Container Terminal XXI,15.6,16.0,Container Ship,CONTAINER SHIPS,1772.0,17.7,9292175,PIRAEUS
Container,Container Terminal XXI,0.5,0.8,Tug,SUPPORTING VESSELS,3.0,5.9,9803821,SINES
Container,Container Terminal XXI,4.6,4.7,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.4,9525443,SINES
Container,Container Terminal XXI,4.8,5.2,Tug,SUPPORTING VESSELS,6.0,6.2,9803821,SINES ANCH
Container,Container Terminal XXI,43.0,43.2,Container Ship,CONTAINER SHIPS,7358.0,14.0,9839260,TANJUNG PELEPAS
2,Oil and Products Terminal,0.8,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
6,Oil and Products Terminal,0.3,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
1A,Multi Purpose Terminal,107.2,107.8,General Cargo,DRY BREAKBULK,754.0,8.8,9395185,TARRAGONA
7,Oil and Products Terminal,0.4,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
7,Oil and Products Terminal,68.9,69.3,LPG Tanker,LPG CARRIERS,593.0,12.5,9851610,GIJON
3,Oil and Products Terminal,0.8,66.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9503512,SINES
2,Oil and Products Terminal,1.1,65.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,9319179,SINES ANCH
1A,Multi Purpose Terminal,0.2,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
1A,Multi Purpose Terminal,63.9,76.4,Oil Products Tanker,WET BULK,60.0,9.9,9428671,LISBOA
Container,Container Terminal XXI,35.5,36.0,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9525443,SINES
Container,Container Terminal XXI,5.5,5.7,Container Ship,CONTAINER SHIPS,241.0,11.1,9150080,LEIXOES
5,Oil and Products Terminal,40.6,41.0,Oil/Chemical Tanker,WET BULK,283.0,11.1,9373230,LEIXOES
7,Oil and Products Terminal,20.4,20.8,LPG Tanker,LPG CARRIERS,248.0,11.9,9355290,LEIXOES
Container,Container Terminal XXI,1.1,1.5,Tug,SUPPORTING VESSELS,4.0,6.6,9803821,SINES ANCH
Container,Container Terminal XXI,16.4,16.8,Container Ship,CONTAINER SHIPS,1669.0,15.6,9785457,ANTWERP
1A,Multi Purpose Terminal,57.4,80.3,Oil/Chemical Tanker,WET BULK,4.0,8.3,9555084,SINES
6,Oil and Products Terminal,0.3,80.9,Tug,SUPPORTING VESSELS,1.0,4.5,7626085,SINES
6,Oil and Products Terminal,48.5,48.9,LPG Tanker,LPG CARRIERS,1612.0,10.1,9697492,KAARSTO
Sines LNG,REN Atlantico Terminal LNG,0.6,66.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9503512,SINES
Container,Container Terminal XXI,8.2,8.6,Oil/Chemical Tanker,WET BULK,127.0,9.4,9555084,SINES
1B,Multi Purpose Terminal,1.1,65.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,9319179,SINES ANCH
1B,Multi Purpose Terminal,1.1,3.5,Tug,SUPPORTING VESSELS,2.0,5.3,7626085,SINES
2,Oil and Products Terminal,1.2,65.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,9319179,SINES ANCH
2,Oil and Products Terminal,1.6,66.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9503512,SINES
3,Oil and Products Terminal,0.6,3.5,Tug,SUPPORTING VESSELS,2.0,5.3,7626085,SINES
2,Oil and Products Terminal,40.1,40.8,Crude Oil Tanker,WET BULK,4306.0,12.4,9933652,GEBIG
Container,Container Terminal XXI,11.1,11.6,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.0,9525443,SINES
Container,Container Terminal XXI,0.2,0.5,Tug,SUPPORTING VESSELS,4.0,6.0,9803821,SINES ANCH
Container,Container Terminal XXI,13.6,13.8,Container Ship,CONTAINER SHIPS,669.0,14.0,9349825,VALENCIA
4,Oil and Products Terminal,0.8,24.0,Tug,SUPPORTING VESSELS,4.0,5.4,7626085,SINES
4,Oil and Products Terminal,37.2,37.5,Oil/Chemical Tanker,WET BULK,72.0,5.7,9308558,BARREIRO
Container,Container Terminal XXI,1.7,13.9,Tug,SUPPORTING VESSELS,3.0,10.9,9803821,SINES
Container,Container Terminal XXI,4.0,23.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,7.0,9525443,SINES
Container,Container Terminal XXI,11.0,13.9,Tug,SUPPORTING VESSELS,3.0,10.9,9803821,SINES
3,Multi Purpose Terminal,0.3,7.8,Tug,SUPPORTING VESSELS,3.0,10.5,9803821,SINES
1B,Multi Purpose Terminal,0.5,24.0,Tug,SUPPORTING VESSELS,4.0,5.4,7626085,SINES
3,Oil and Products Terminal,0.3,24.0,Tug,SUPPORTING VESSELS,4.0,5.4,7626085,SINES
Container,Container Terminal XXI,9.4,23.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,7.0,9525443,SINES
Container,Container Terminal XXI,21.6,21.8,Container Ship,CONTAINER SHIPS,668.0,17.5,9702106,VALENCIA
